year,month,germany,north,south
1996,9,83.5178535315613,85.6827655257145,81.3508694708609
1996,10,51.9369731024011,50.73672351969935,53.13837146021023
1996,11,21.860779813452133,18.939692682303104,24.784662756598237
1996,12,19.66802347699855,15.918496100156217,23.42113957720067
1997,1,23.789100521154882,21.322839686678268,26.2577218472291
1997,2,39.81970735790604,35.20496928490819,44.43886225912179
1997,3,74.44255346426168,74.10359241490113,74.78183893782658
1997,4,120.7921320351738,114.64702344353704,126.94312219334806
1997,5,160.9085223284555,152.31345604545277,169.51181506563464
1997,6,164.00462239909228,173.82889014281824,154.17095171584856
1997,7,153.17625494318466,157.38476164532827,148.96372022236199
1997,8,152.44005545265946,152.0672661066606,152.81320160038285
1997,9,110.73603886135722,99.44347811584453,122.0394078694764
1997,10,58.14204774379426,54.29450775243358,61.99327026771356
1997,11,26.268215197477097,21.92839975761484,30.612184333387123
1997,12,14.923945676416768,12.367865676371336,17.48247213519785
1998,1,24.62811313566157,20.674769483930866,28.585240586065094
1998,2,42.819037782338576,33.92945646795902,51.71712743521399
1998,3,75.96323694470864,72.48006081866143,79.44974686573144
1998,4,98.34354390882848,92.84744995246805,103.84489825104198
1998,5,162.6905155929319,160.8725638345777,164.5102073374994
1998,6,154.94494410238443,147.87681041144324,162.01984279966834
1998,7,136.44482237906928,137.1299765397851,135.7590124480404
1998,8,140.13546492355098,131.69211442136103,148.58689667069171
1998,9,76.91007992524737,73.7927748097332,80.03036865564502
1998,10,39.35297425372512,37.93206249756781,40.7752459837402
1998,11,24.675992307820664,22.007877684443432,27.34666061978665
1998,12,18.9832714288098,15.678577821757962,22.291128002804566
1999,1,23.89043761436763,19.103491180182232,28.68196569972233
1999,2,36.207630608533144,33.064606151913225,39.35366329636575
1999,3,72.62265766742865,68.11391602132545,77.13571469113612
1999,4,115.82995978708848,116.16915148516503,115.4904434440506
1999,5,161.35138347989076,167.77264183145337,154.92397925512083
1999,6,161.71497663980244,162.8194146620784,160.6094815449593
1999,7,172.95249080887464,176.17306978580044,169.72882937225597
1999,8,135.40115591263285,132.70660138204016,138.0982894378071
1999,9,107.21695082678414,105.40807898642977,109.02755396283952
1999,10,58.45135575356103,54.06166589763118,62.84524704101677
1999,11,26.339271578982498,24.677014103925416,28.00312002314879
1999,12,16.403252545983438,13.751281138987876,19.05776219067705
2000,1,22.605257852085455,19.442032922130988,25.771510347398824
2000,2,39.569209312932095,36.18016744589419,42.96149487777327
2000,3,62.18752337410244,57.034295721012455,67.34568325106979
2000,4,122.55500675777142,119.57887941338345,125.53398259388892
2000,5,167.24832546317154,172.96453137942726,161.5266484889292
2000,6,178.41654344162453,165.5709401319776,191.274441451919
2000,7,125.36282644485601,119.19110073994185,131.54045919190682
2000,8,146.25136515325957,140.71537822647446,151.79265064799924
2000,9,86.89614356509986,81.86299262281867,91.93411180421464
2000,10,48.681109025379186,48.554770317824754,48.807568653419175
2000,11,28.46732358879378,26.415500586505374,30.521110418625877
2000,12,19.344803190335554,16.59878101390379,22.093453621728703
2001,1,24.794862174834396,19.747919323545272,29.846635523379724
2001,2,41.04254806916843,36.72080481879486,45.36842771845282
2001,3,61.546224658357104,62.69647096103492,60.394877439387436
2001,4,103.03810815771469,100.15775543559838,105.92121770437434
2001,5,176.9791773038995,177.4966580312321,176.4612012887645
2001,6,153.64319700989472,149.6481406389851,157.6420771032848
2001,7,171.06282130005062,168.04831670178285,174.08021112143655
2001,8,141.10316110749585,132.4739876806075,149.74059363296922
2001,9,67.1875640319701,66.3727690836618,68.00313883154246
2001,10,57.780178038077125,51.02681391379761,64.54000589849032
2001,11,25.833671972768684,22.53213143279649,29.138372461840664
2001,12,17.700257685226898,13.42215494860434,21.982455051834375
2002,1,25.475945086849876,20.049601899054363,30.907481901094556
2002,2,37.84835591485764,37.35017984311676,38.34700879765396
2002,3,83.43161466241733,74.44244581079504,92.42938716911416
2002,4,114.73288523468656,105.87082188582325,123.60343058422878
2002,5,142.7720095331854,139.84975722569064,145.69705876788328
2002,6,167.10752915853232,156.19865103764195,178.02684831420032
2002,7,141.13835057538392,134.54557074477844,147.73744044472392
2002,8,133.28542409882476,135.056224795557,131.51292854479792
2002,9,98.53580042048355,97.66664001912396,99.40579270701753
2002,10,50.380432358323176,50.06553605479238,50.695630053364646
2002,11,22.41578949124827,21.439505778884694,23.39300761795589
2002,12,16.088511621698288,14.700457585376839,17.4778941833095
2003,1,21.4017336603761,17.747736311631705,25.059228299398466
2003,2,53.47517973447242,45.925381117306635,61.03220436599577
2003,3,94.12671074513467,86.23986685494138,102.02110324027444
2003,4,134.67964676044116,131.12485537500208,138.23784048478913
2003,5,156.36383065525354,159.31708920996894,153.4077454968365
2003,6,189.49240893694414,183.71718861012127,195.27315680524407
2003,7,169.11791902354375,163.14159101395938,175.09996705748802
2003,8,162.0993718887832,155.07689591336396,169.12856917092824
2003,9,110.21759623567102,105.63731108133803,114.80226524286755
2003,10,57.88396069368663,57.66007560637985,58.10806006443821
2003,11,28.161612103919506,25.43920046253315,30.886629402304862
2003,12,19.92659878304495,16.613617765275546,23.24275069975015
2004,1,21.269634468527695,17.861079114293496,24.681452197187646
2004,2,40.073741330307634,35.214230788474474,44.93790297539885
2004,3,83.03659625235687,76.96997287065194,89.10902608134352
2004,4,124.80372336520333,122.01560526798569,127.5945100079574
2004,5,144.6221778934664,138.94177574925365,150.30801682739127
2004,6,154.35168769084447,146.6851728662045,162.02554024050258
2004,7,154.46513982746825,149.6873595583698,159.24749297467542
2004,8,138.88252493144896,139.0476812746346,138.71721051489368
2004,9,103.8875128898233,101.43312009739881,106.34425481478183
2004,10,58.02728170729673,56.561900277408704,59.494065673568635
2004,11,23.058536149905724,22.474573741237162,23.643057476892942
2004,12,17.19299288626365,14.191097626737974,20.197761300338886
2005,1,24.33663084769708,19.644290606463237,29.033462191233507
2005,2,39.90722886875462,34.26985918311754,45.549994157155815
2005,3,85.68146465657728,79.42768750104237,91.94122738680184
2005,4,122.76450534781667,129.2316617281617,116.29115916464022
2005,5,155.3710625552719,152.66425964120324,158.08045618701553
2005,6,176.92318015718075,174.35025811795705,179.49856477488356
2005,7,152.56110101616858,148.95765542392385,156.1679955149215
2005,8,127.47380331826044,124.80167256878234,130.14849160021592
2005,9,105.67761383924848,105.37078491652723,105.98473643208112
2005,10,67.40876861168121,66.36085496361443,68.4576852320722
2005,11,27.227515392701612,24.556383513361766,29.901203848486702
2005,12,16.941400082316886,14.31521094735906,19.570102778411524
2006,1,28.16987805420678,23.68179615185764,32.66225556044005
2006,2,34.66554637833509,29.769028402426073,39.56675087781778
2006,3,75.05615485586202,69.48994273928585,80.62769446933063
2006,4,106.007700438838,101.97364161464095,110.045620315291
2006,5,152.1468202043461,153.3928778790187,150.8995699110218
2006,6,181.29720820610368,175.58718644199712,187.0126951092612
2006,7,203.29431454506016,202.65248889531296,203.93675449481654
2006,8,113.55406384008276,114.75275401797876,112.35422637960681
2006,9,110.66158357110676,106.79113370654717,114.53573789557446
2006,10,58.72101238646666,51.720744389283915,65.7279804348189
2006,11,27.322461497388666,23.39316273717332,31.255521042585986
2006,12,19.417453655036628,14.709059923615321,24.130353853773087
2007,1,20.481474417802698,17.75206127452343,23.213499919313108
2007,2,34.87790436780075,29.365052952262356,40.39603220798299
2007,3,86.22870389837202,83.63581863363706,88.8240708486592
2007,4,159.52872344863258,148.39600509231207,170.67209708024728
2007,5,157.41594155501048,157.57286631569,157.25886659952033
2007,6,156.41194740618377,150.55532096576033,162.2741793029765
2007,7,150.29606528062828,143.96385842705374,156.6343327750171
2007,8,134.4945408052594,132.12552649280906,136.86582253334595
2007,9,87.17334050825117,84.90263577182441,89.44621856688943
2007,10,59.17803323822396,54.440391652166184,63.9202092851141
2007,11,23.361559293187167,21.18536744144675,25.539834007579003
2007,12,17.620578137079864,13.879100228486926,21.365637064777665
2008,1,22.377777388441153,17.11340351013737,27.647189870177566
2008,2,48.33760046275439,39.819323322900395,56.864030560857394
2008,3,74.4716729516722,72.54886679378916,76.39631945333237
2008,4,105.89482179506433,106.03787301463763,105.75163365923419
2008,5,180.06062171497223,186.77482724498134,173.33998992804956
2008,6,175.94222998114498,183.32499563595528,168.5523981814843
2008,7,160.32696247907316,157.4899366796569,163.16670363424907
2008,8,132.1093598193478,123.37233762696034,140.8547443338323
2008,9,87.56610710650583,87.38809088331602,87.74429371143027
2008,10,53.524695928095085,51.120610743888946,55.931082094743104
2008,11,24.728124926999385,18.784424474229898,30.677514175852917
2008,12,17.000820193222204,14.288081599297305,19.71615518594156
2009,1,26.801661494051494,22.01324701604968,31.59465902830719
2009,2,33.383665131567966,28.115678706241418,38.65669361794476
2009,3,66.46702129671344,63.80766898859789,69.12891890688732
2009,4,143.964184395388,148.43322411176402,139.49086730066162
2009,5,164.66423823508146,168.28028752661513,161.04472797386856
2009,6,157.22269960454523,155.49025600542586,158.9568013488623
2009,7,161.5579999221327,161.39580762623763,161.72034745446754
2009,8,155.14974612471008,151.2188004158351,159.08445419488388
2009,9,100.44161927883732,98.28059189788691,102.60471500831909
2009,10,51.18795712291357,46.71866921652889,55.66152264519468
2009,11,24.577307904089704,20.589084273317063,28.569348717634817
2009,12,16.955468844726994,14.150066711511627,19.76355606626342
2010,1,21.183853292397366,18.187364839697796,24.183209724718573
2010,2,37.63123013687963,32.794949660605184,42.47213948260223
2010,3,82.61309352978148,75.70945079748053,89.52334383190416
2010,4,137.29110760708147,133.2083254298723,141.3777974703267
2010,5,115.71758661349439,118.2041125423201,113.22868079707523
2010,6,179.30763719944602,186.81997170320048,171.78811253874363
2010,7,184.51337688341593,186.33517809193958,182.68983200431813
2010,8,116.82867503184217,113.6608671384653,119.99951487699423
2010,9,90.52297567202282,84.05680551926572,96.99533468367954
2010,10,60.63485691878994,56.76403126546178,64.50938739169871
2010,11,21.876690527439887,18.16931815275824,25.587611278358658
2010,12,17.915641487710865,14.665237131627372,21.169156849761
2011,1,22.332084369246857,18.444241795873896,26.223648049324733
2011,2,39.256471108441374,35.94501236942612,42.57109928939885
2011,3,94.50756736914117,87.921510515402,101.09992782696276
2011,4,143.3260669770236,138.1480154993079,148.50907443783493
2011,5,180.05738891391766,173.61937774837529,186.5015619870122
2011,6,160.82492132619177,168.5489390090005,153.09351088160173
2011,7,137.74436429671903,128.75920896825087,146.73811943886435
2011,8,137.1260166413598,124.81523679806982,149.44857929852483
2011,9,103.96779279504763,97.77800921730719,110.16350069835902
2011,10,66.9927441835889,62.741663673914125,71.24789345990973
2011,11,33.491909112145635,29.138103447317363,37.84988186325519
2011,12,14.376441852574908,12.135497195336866,16.61953134825021
2012,1,22.42085498323072,19.863039320876812,24.98111876554614
2012,2,45.17092133731569,39.459616631179856,50.88769241042363
2012,3,90.28895457553966,82.36324023371266,98.22225472574803
2012,4,112.8193978909079,110.57053897342102,115.07040922167751
2012,5,171.34146284894297,167.05017689669168,175.63685604901312
2012,6,147.0966477282208,139.73705585421308,154.46328356713985
2012,7,155.1157363746086,153.24766148355283,156.9855992254058
2012,8,151.81527362021882,144.72642331789703,158.91090875703227
